OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Housing,Occupied,Vacant,Shape__Area,Shape__Length
120,Evergreen Lawn,988,1,967,0,2,0,7,11,11,444,342,102,1489267.21154785,5620.22762611296
121,Fairfield Area,127,43,35,1,1,0,37,10,49,59,43,16,67046148.420166,82668.2808706079
122,Fairmount,322,28,283,0,1,0,1,9,13,160,122,38,4616324.01171875,10860.1442427461
123,Federal Hill,2695,2143,183,3,109,1,44,212,162,1612,1378,234,4152822.60882568,10066.2907922976
124,Forest Park,1255,42,1130,5,4,1,29,44,42,731,563,168,4324443.33026123,9186.7330864611
125,Frankford,17135,1379,14596,56,216,4,282,602,531,7848,7226,622,59221544.1438599,38656.6284986509
126,Franklin Square,2379,91,2095,13,9,0,85,86,109,1409,1053,356,4797468.37518311,9313.54313568829
127,Franklintown,1193,133,910,5,18,0,57,70,86,554,498,56,16573390.734375,22911.8012831675
128,Franklintown Road,1338,9,1275,6,1,0,15,32,12,821,596,225,3388871.78540039,8145.42942844399
129,Garwyn Oaks,1349,69,1186,2,7,0,26,59,36,524,452,72,3661971.6192627,8081.28993460565
130,Gay Street,1728,37,1623,2,17,0,8,41,19,873,776,97,3051014.05053711,7140.56223568488
131,Glen,7766,2878,4156,14,90,1,318,309,397,3692,3391,301,20832074.4864502,21572.154899662
132,Glen Oaks,2678,184,2295,8,13,0,58,120,105,1266,1157,109,7508690.93804932,13894.2236598122
133,Hamilton,5981,1606,3911,27,68,6,96,267,159,2555,2299,256,20892371.8005371,19396.4183769547
134,Graceland Park,2156,881,244,33,36,1,696,265,1049,806,748,58,8711518.08172607,17765.0804158832
135,Greektown,4757,2153,361,71,168,1,1544,459,2073,2007,1795,212,6175459.7555542,13707.5401770939
136,Greenmount Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,2981547.84466553,6953.44142510626
137,Greenmount West,1683,520,955,6,50,1,29,122,93,1026,864,162,2790055.88482666,7361.40072866365
138,Greenspring,2718,35,2551,3,3,0,35,91,39,1316,1033,283,4846490.4041748,9650.61016585319
139,Grove Park,1776,35,1646,10,5,0,27,53,41,923,849,74,9570839.45220947,12782.1035484812
140,Guilford,1990,1457,230,0,110,0,19,174,92,804,755,49,15414967.4908447,19126.3316363704
141,Gwynns Falls,952,414,355,3,34,0,82,64,98,461,363,98,4981463.82806396,10140.8123858874
142,Hampden,7346,5951,432,18,368,0,85,492,312,4318,3925,393,17132048.5187988,19320.8173883885
143,Hanlon-Longwood,2240,35,2104,2,9,1,27,62,52,1044,839,205,12066118.2683716,15981.8002918102
144,Hamilton Hills,9649,1914,6962,39,70,4,219,441,339,4463,4183,280,31845232.6988525,26499.6707140089
145,Harlem Park,2582,74,2351,0,23,1,46,87,70,1788,1256,532,8702567.46832275,12561.4929732565
146,Heritage Crossing,918,31,828,3,4,0,19,33,28,405,377,28,2391327.27197266,7690.70174019423
147,Herring Run Park,0,0,0,0,0,0,0,0,0,0,0,0,6656661.8503418,12259.1988705221
148,Hillen,2114,104,1922,0,10,0,12,66,27,1012,900,112,4708093.07061768,9383.32235136636
149,Holabird Industrial Park,27,10,1,0,0,0,6,10,16,5,0,5,15728190.9375,32084.2456176097
150,Hollins Market,1716,430,1030,5,62,0,91,98,141,1054,805,249,2980982.58911133,7918.92099704064
151,Homeland,3186,2464,329,6,125,0,29,233,151,1169,1103,66,17156886.1445313,18269.7758168498
152,Hopkins Bayview,112,56,41,0,1,0,12,2,15,106,97,9,11526495.9841919,16481.4113957709
153,Howard Park,5057,128,4563,23,30,7,143,163,189,2350,2064,286,29450607.52771,25048.8162949043
154,Hunting Ridge,1326,331,889,1,17,0,19,69,53,608,574,34,7253137.24182129,11691.7333933094
155,Idlewood,2495,246,2097,9,17,2,30,94,84,1106,1033,73,5783571.84680176,10221.6469307785
156,Irvington,3431,236,2960,9,32,2,48,144,94,1654,1413,241,24138986.369751,27201.2249346033
157,Johns Hopkins Homewood,742,242,75,6,275,2,38,104,134,14,13,1,7154780.37774658,13203.990275705
158,Johnston Square,1993,40,1859,6,11,0,22,55,41,999,862,137,4763515.75756836,10537.306567234
159,Jonestown,1306,364,770,11,88,0,25,48,48,390,351,39,3756028.61907959,8883.78515873764
160,Kenilworth Park,1166,44,1060,10,0,0,12,40,15,530,477,53,4045772.41015625,9251.30649053292
161,Kernewood,454,123,261,1,28,0,14,27,11,243,190,53,2162809.19128418,6778.04816181773
162,Kresson,476,127,59,9,3,0,249,29,289,193,168,25,7451119.53692627,13279.6569759688
163,Lake Evesham,540,453,44,0,13,0,6,24,21,247,226,21,1982908.90332031,6183.9934553552
164,Lake Walker,1944,916,792,4,86,0,55,91,110,1211,1079,132,5664464.94281006,10863.1097857339
165,Lakeland,4848,672,1945,63,127,0,1511,530,2063,1691,1541,150,14839466.7849731,15740.9554093966
166,Langston Hughes,741,17,683,0,1,0,13,27,26,404,285,119,1686047.92095947,5160.7804247672
167,Lauraville,3759,1312,2049,11,52,5,88,242,159,1611,1421,190,16481238.4279175,20791.9092703992
168,Levindale,1077,130,897,1,5,0,15,29,27,531,489,42,4263172.25604248,9163.88492709643
169,Liberty Square,813,19,754,0,6,0,6,28,12,552,464,88,3271388.01464844,8549.27240865863
170,Little Italy,674,425,59,6,88,0,40,56,77,437,373,64,1395406.08087158,5207.91945378646
171,Loch Raven,5611,278,4956,9,122,6,67,173,100,2975,2796,179,15910382.715271,19140.2509443992
172,Lower Herring Run Park,0,0,0,0,0,0,0,0,0,0,0,0,2420774.33636475,8035.44366282766
173,Loyola/Notre Dame,2967,1338,232,0,1059,0,127,211,319,16,13,3,8355277.85974121,17702.839456376
174,Madison Park,1925,330,1492,6,14,1,16,66,48,1312,1089,223,4434925.14337158,14267.1851321636
175,Madison-Eastend,1824,69,1520,6,10,0,140,79,187,861,677,184,3005460.10296631,7249.96468460413
176,Mayfield,858,565,167,3,27,0,13,83,44,371,348,23,3558864.10198975,8031.02461222193
177,McElderry Park,3690,379,2281,38,51,0,600,341,935,1631,1184,447,3523164.17333984,8045.87057741612
178,Medfield,2791,1797,387,11,367,1,51,177,155,1413,1318,95,7253163.3190918,10680.4213400213
179,Medford,1284,379,305,7,8,0,486,99,606,613,589,24,4289066.95373535,8539.23522193326
180,Mid-Govans,1302,83,1130,1,18,1,19,50,22,606,510,96,3590775.09802246,7206.57682174913
181,Mid-Town Belvedere,4666,2439,1101,26,624,0,111,365,361,3885,3161,724,6158449.35931396,10705.6496621485
182,Middle Branch/Reedbird Parks,20,5,6,0,0,0,4,5,7,5,1,4,10162084.5038452,30222.9706125667
183,Middle East,1872,289,1176,6,279,0,24,98,67,1130,952,178,5513437.2456665,9428.58740755452
184,Midtown-Edmondson,1096,22,1000,1,8,2,22,41,33,659,438,221,4232863.7052002,11582.4697287589
185,Milton-Montford,1088,61,917,5,13,0,39,53,55,519,415,104,1553511.58563232,5002.65942834021
186,Mondawmin,2900,262,2222,2,273,0,45,96,74,1498,1006,492,10504871.4293213,13082.720431632
